id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent
545,Richardson Elementary School,New York,Private,High,14951.05,68.2,14.9,84.3,43.4,53.0,5.2
546,Fisher Middle School,California,Charter,Middle,23198.11,66.7,29.2,35.4,38.7,82.5,6.27
547,Wells High School,Ohio,Private,Elementary,18941.6,51.5,25.1,53.1,42.0,68.2,12.47
548,Donaldson Elementary School,Texas,Public,Elementary,9772.35,68.9,26.3,26.3,39.1,50.4,13.72
549,Patrick Elementary School,California,Private,Elementary,22742.65,87.5,21.7,16.3,39.4,83.8,3.32
550,Wall High School,Texas,Public,High,16853.7,59.9,13.1,40.3,92.9,52.3,3.84
551,Sanchez High School,New York,Charter,Elementary,21935.74,88.9,28.8,44.7,29.3,81.0,13.49
552,Brown Elementary School,Ohio,Public,High,15562.27,40.5,10.5,84.2,59.1,67.1,11.05
553,Walters Middle School,Georgia,Private,Middle,24158.05,62.9,19.8,36.1,33.9,78.8,12.81
554,Diaz Elementary School,Ohio,Charter,Elementary,7556.05,64.5,20.4,76.7,12.5,78.1,3.01
555,Strong Elementary School,Georgia,Private,Elementary,17592.28,56.4,26.9,81.6,63.9,76.0,13.79
556,Barrera High School,Pennsylvania,Public,Middle,16969.88,45.2,21.9,90.1,34.8,61.6,11.34
557,Rice Middle School,Pennsylvania,Public,High,21368.94,53.8,11.2,75.7,63.4,82.2,5.15
558,Stone Elementary School,Florida,Public,High,16441.31,57.3,28.1,63.5,38.9,89.4,3.14
559,Moss Elementary School,Florida,Charter,Elementary,15765.31,40.9,23.5,37.7,75.4,69.3,12.93
560,Cohen Elementary School,Ohio,Charter,High,19511.97,52.3,15.2,89.1,91.3,95.3,4.05
561,Pope Middle School,North Carolina,Private,Middle,18980.84,92.9,28.5,31.9,7.7,93.0,5.53
562,Kidd Middle School,New York,Charter,Elementary,19492.29,92.2,25.9,68.5,5.1,51.2,10.49
563,Garner High School,Illinois,Private,Middle,6181.26,57.5,20.6,43.3,46.9,100.0,4.05
564,Hall High School,North Carolina,Private,Elementary,8365.77,86.4,21.8,29.4,14.5,99.6,0.96
565,Spencer Elementary School,Texas,Public,Middle,5675.25,95.0,17.3,61.7,50.6,84.7,13.7
566,Smith Middle School,Pennsylvania,Private,Middle,21193.26,71.1,25.5,91.0,88.2,90.8,6.16
567,Rodriguez Middle School,Georgia,Charter,High,24739.15,71.8,15.3,87.0,72.6,83.3,2.53
568,Hernandez Elementary School,Michigan,Private,High,21016.89,41.6,12.0,42.5,86.7,92.5,12.6
569,Parker Middle School,Georgia,Private,High,10167.94,84.5,11.4,54.9,11.8,71.5,0.87
570,Hill High School,Illinois,Charter,High,17127.44,53.1,29.2,55.6,73.9,92.0,1.46
571,Boyd Middle School,Michigan,Private,Middle,15685.52,96.7,28.7,20.5,91.5,54.9,0.91
572,Martin Elementary School,Texas,Private,Middle,15104.98,92.6,16.9,50.6,49.9,74.8,9.61
573,Perez Middle School,Michigan,Private,Middle,7496.69,66.2,13.7,87.5,92.9,90.1,11.13
574,Vazquez Middle School,North Carolina,Public,Elementary,18587.73,74.5,27.9,16.1,41.7,72.9,1.85
575,Patel High School,North Carolina,Public,Elementary,17026.8,86.1,24.1,90.7,7.4,72.6,0.62
576,Sawyer High School,Michigan,Private,Middle,23266.81,96.4,25.1,74.0,83.1,68.3,4.3
577,Gilbert Elementary School,Michigan,Charter,Middle,7886.68,70.6,22.7,48.1,45.7,91.1,14.61
578,Juarez Elementary School,California,Private,High,18027.26,96.7,24.9,78.6,30.6,91.8,11.45
579,Kaufman Elementary School,New York,Private,Elementary,15178.78,60.6,18.3,49.0,54.3,56.7,5.81
580,Garcia Elementary School,Texas,Charter,Elementary,24540.9,90.5,24.9,41.4,14.7,89.4,4.76
581,Smith Middle School,Georgia,Private,High,12624.09,42.4,12.3,45.5,16.2,61.3,13.58
582,Rodriguez High School,Ohio,Public,High,9551.58,77.1,22.0,46.6,46.7,82.1,1.13
583,Scott High School,Texas,Public,High,5557.04,84.7,26.8,60.8,87.0,66.5,0.71
584,Wilson Elementary School,Michigan,Private,Elementary,21985.55,86.4,16.3,32.1,50.2,74.5,7.36
585,Benson High School,Texas,Charter,High,16795.47,60.5,27.3,44.6,9.2,97.1,6.36
586,Tanner Middle School,Michigan,Public,Elementary,24643.68,45.9,29.2,49.6,90.5,82.5,12.9
587,Clay Middle School,Florida,Charter,Elementary,19588.2,48.8,17.7,18.4,24.3,68.1,3.87
588,Green Middle School,Texas,Public,High,11152.11,74.5,23.0,50.8,55.1,94.4,11.1
589,Tucker Elementary School,Georgia,Private,Middle,6794.44,49.0,11.3,48.8,71.0,66.0,14.61
590,Jackson Middle School,Texas,Private,High,15986.0,64.1,23.3,21.3,67.6,51.7,13.4
591,Donaldson Middle School,Michigan,Private,Elementary,6852.91,68.8,15.5,83.9,56.2,58.4,9.55
592,Gallegos Middle School,Florida,Public,Elementary,17125.75,71.9,23.3,48.1,73.4,82.7,13.16
593,Short Elementary School,Texas,Charter,Middle,8044.86,63.7,15.3,39.9,52.6,95.0,12.37
594,Martin Middle School,Texas,Private,High,5934.15,60.3,26.2,48.5,55.5,81.3,8.18
595,Morgan Elementary School,New York,Public,Elementary,17817.89,92.5,19.2,53.4,38.0,65.7,14.1
596,Huff Middle School,Florida,Public,Elementary,11360.92,51.5,27.2,12.7,93.3,68.9,2.56
597,Ortiz High School,Ohio,Private,High,24702.86,73.3,22.0,21.8,67.5,61.6,1.18
598,Young Middle School,Florida,Public,Middle,15878.01,44.3,28.6,83.6,55.0,90.2,1.25
599,Johnson High School,Illinois,Private,Middle,11880.67,74.8,11.4,52.8,6.3,99.6,14.67
600,Walker High School,Illinois,Charter,High,21353.04,84.8,15.0,75.4,10.2,87.5,3.91
601,King Elementary School,Florida,Public,High,6672.14,78.6,21.0,11.2,77.9,81.0,9.57
602,Payne Elementary School,Florida,Public,Elementary,10947.39,96.8,28.0,65.8,7.5,99.4,13.38
603,Bailey Middle School,Georgia,Charter,Elementary,8276.1,59.7,12.7,23.9,32.4,77.1,13.66
604,Sherman High School,Pennsylvania,Charter,High,19997.83,47.8,16.0,85.0,55.7,84.7,14.65
605,Simpson Middle School,Ohio,Charter,Middle,13436.12,55.3,23.3,26.9,24.5,58.8,7.09
606,Herrera Middle School,Texas,Public,Middle,23848.15,84.6,10.6,34.7,24.4,65.9,11.23
607,Ray Elementary School,Pennsylvania,Private,Middle,19833.66,74.7,11.3,63.2,70.3,51.8,12.85
608,Russell High School,New York,Public,High,15946.73,82.2,17.7,15.9,45.3,70.9,10.9
609,Thompson Middle School,California,Public,Elementary,21277.18,91.1,25.8,17.6,67.0,54.0,12.22
610,Marshall High School,Ohio,Charter,Middle,5611.5,54.4,14.1,44.3,50.5,90.5,10.2
611,Brown Elementary School,Illinois,Public,Elementary,21114.49,42.6,21.7,87.5,48.4,96.9,4.05
612,Moss Elementary School,Illinois,Charter,Middle,19867.04,51.0,18.4,33.1,43.9,51.4,3.84
613,Hood Middle School,Florida,Public,High,12569.89,88.4,17.6,36.7,86.5,93.0,7.63
614,Brown Middle School,North Carolina,Charter,Middle,5036.13,41.1,26.2,60.9,75.0,95.9,0.56
615,Cooke Elementary School,Texas,Private,Middle,24492.1,83.4,17.5,71.8,83.1,92.0,8.16
616,Williams Elementary School,California,Charter,Elementary,22025.13,75.3,12.8,87.8,61.1,94.0,13.52
617,Smith Middle School,Ohio,Public,Middle,6815.96,89.7,14.0,56.3,62.7,56.5,3.42
618,Gonzalez High School,New York,Private,High,22589.03,57.2,15.9,14.8,94.5,76.3,11.98
619,Hudson High School,Michigan,Private,Middle,11060.5,96.7,20.0,62.9,63.2,86.6,7.94
620,Gay Middle School,North Carolina,Private,High,9267.77,58.7,15.7,16.3,55.9,91.4,6.36
621,Flores Middle School,New York,Charter,Elementary,19996.34,41.2,14.0,46.6,18.4,80.0,1.09
622,Ramos Middle School,North Carolina,Charter,Middle,21648.82,73.5,28.2,51.7,21.7,53.7,13.59
623,Williams Elementary School,Michigan,Public,Elementary,12661.46,90.4,25.7,38.7,48.4,94.3,2.07
624,Medina Elementary School,Ohio,Public,High,13510.04,45.3,18.9,35.2,12.9,76.9,13.68
625,Crawford Elementary School,California,Public,High,8225.48,51.2,24.2,66.8,55.5,64.2,2.16
626,Bridges Elementary School,Georgia,Public,High,17564.01,64.9,15.9,33.4,22.6,81.2,5.84
627,Reed Middle School,North Carolina,Charter,Elementary,20819.92,46.0,16.0,55.9,40.2,52.0,3.95
628,James High School,Illinois,Charter,Middle,18704.15,82.9,12.8,11.4,14.1,88.8,13.73
629,Duran High School,California,Public,Middle,23672.47,97.2,20.7,76.6,59.3,79.6,11.98
630,Schmidt Middle School,Texas,Private,Middle,19281.68,68.8,20.9,76.4,94.6,59.4,7.76
631,Salazar Middle School,Texas,Public,Elementary,15527.4,42.2,17.3,80.4,53.7,65.3,6.05
632,Estrada Middle School,Florida,Private,High,14011.98,86.0,15.2,16.6,89.1,60.8,9.55
633,Jones Middle School,Michigan,Public,High,6429.0,81.0,24.0,42.1,85.3,63.0,11.61
634,Montgomery High School,North Carolina,Private,High,19890.29,44.1,21.2,71.0,31.8,50.4,10.4
635,Jackson Elementary School,Michigan,Charter,High,22400.32,94.5,10.4,91.6,55.4,62.0,4.87
636,Harris Elementary School,Georgia,Charter,Middle,24533.7,80.9,16.4,59.8,94.7,91.4,10.64
637,Russell Middle School,California,Charter,High,16921.39,40.3,15.2,71.2,72.3,93.6,2.66
638,Strickland Elementary School,Illinois,Charter,Elementary,12580.37,51.6,25.0,15.5,49.0,55.4,4.25
639,Porter Middle School,New York,Private,High,21824.91,68.0,12.8,15.7,47.7,51.3,12.6
640,Lewis Elementary School,California,Public,Elementary,22814.68,56.6,10.2,32.0,79.7,88.7,10.94
641,Garrett High School,Ohio,Public,High,21898.02,83.1,28.1,61.4,57.1,63.4,2.16
642,Thompson Elementary School,Illinois,Public,High,18790.12,49.4,16.4,68.3,5.9,58.1,0.68
643,Robles Middle School,California,Public,Middle,15474.18,68.6,13.4,61.7,53.5,56.3,13.4
644,Collins Middle School,Georgia,Private,Middle,10805.01,71.9,27.4,55.3,48.5,97.3,13.74
645,Ibarra High School,Georgia,Charter,Elementary,13074.9,54.1,17.5,73.5,58.1,95.4,11.63
646,Taylor High School,North Carolina,Private,Elementary,16298.02,75.9,26.3,61.4,60.0,56.2,4.78
647,Martinez High School,Texas,Private,Middle,8040.55,69.5,28.1,63.2,93.2,97.0,8.15
648,Hayes Elementary School,Texas,Charter,High,21529.9,52.2,12.5,91.6,24.7,96.6,5.71
649,Copeland Elementary School,California,Private,High,19617.44,50.5,14.0,45.1,41.9,61.0,10.29
650,Estrada Elementary School,California,Charter,Elementary,19772.47,48.2,29.2,32.2,65.8,77.8,4.06
651,Lewis Middle School,Florida,Private,Middle,17981.18,63.7,25.4,84.2,59.1,83.0,1.22
652,Flores High School,Illinois,Charter,High,21396.45,66.8,14.8,25.1,9.7,63.6,6.82
653,Olson Middle School,Ohio,Private,Middle,9336.24,53.0,29.8,16.9,48.6,89.1,11.49
654,Rodriguez High School,Ohio,Charter,Elementary,23706.02,77.6,19.1,48.0,31.3,81.4,3.6
655,Brown High School,North Carolina,Public,Middle,19150.04,95.9,14.4,35.2,10.9,57.7,10.99
656,Taylor Middle School,New York,Private,Elementary,13518.15,82.1,13.6,77.0,10.9,51.4,14.0
657,Cook Middle School,Michigan,Public,High,13214.73,47.1,28.6,58.7,88.1,87.9,10.34
658,King Elementary School,Florida,Private,Elementary,11618.59,89.6,14.9,76.3,60.6,73.6,6.23
659,Vasquez Middle School,New York,Public,Middle,11296.11,48.8,12.8,45.0,79.9,64.5,1.62
660,Perry High School,Georgia,Private,Middle,12574.16,71.5,22.3,57.6,85.1,90.4,8.95
661,Howard High School,Michigan,Charter,Elementary,23231.52,91.5,23.0,77.0,54.6,94.9,14.43
662,Johnson High School,Texas,Charter,High,14722.07,69.7,27.5,28.7,21.1,79.1,8.1
663,Vazquez Elementary School,New York,Public,Elementary,8739.23,47.5,24.6,79.3,13.6,76.7,9.31
664,Gilbert High School,California,Public,Middle,23023.41,94.6,18.1,50.9,52.5,79.8,3.49
665,Jones High School,Florida,Charter,Elementary,18622.82,97.4,14.3,40.9,33.8,55.2,3.06
666,Gomez Elementary School,Georgia,Private,Elementary,13137.96,88.5,22.1,82.4,26.8,72.8,9.16
667,Glover Elementary School,Texas,Public,High,18129.79,92.3,14.9,59.2,94.7,57.4,1.13
668,Green Middle School,Ohio,Charter,Elementary,21341.55,56.3,10.5,80.6,75.0,74.2,11.25
669,Krueger Middle School,Michigan,Private,High,9747.71,47.2,29.4,14.8,15.1,97.8,14.41
670,Byrd Middle School,North Carolina,Private,High,7292.48,96.7,23.5,49.5,57.6,80.5,5.17
671,Williams Middle School,Illinois,Public,Middle,16143.85,69.5,22.7,78.2,56.3,54.7,2.45
672,Lee Elementary School,Texas,Private,High,8963.37,99.0,15.0,16.4,78.4,78.5,2.65
673,Newman Elementary School,North Carolina,Public,High,23961.1,92.3,29.3,22.2,61.9,76.1,5.54
674,Lee Middle School,California,Public,Elementary,6721.91,99.8,10.1,43.4,48.3,69.4,3.41
675,Melton Middle School,Ohio,Public,High,9632.48,99.8,21.7,17.5,26.6,73.6,9.51
676,Massey Middle School,Georgia,Public,High,22534.13,77.0,22.0,53.4,20.8,98.4,1.73
677,Moyer Middle School,Michigan,Charter,High,15446.53,78.0,29.4,47.7,57.0,90.6,4.01
678,Yoder Elementary School,Michigan,Private,Middle,18459.54,90.7,14.0,81.8,65.4,52.7,10.32
679,Conway Middle School,Florida,Private,Middle,5635.94,65.6,16.7,57.7,17.2,84.2,14.47
680,Moore Middle School,North Carolina,Public,High,11340.88,42.4,14.7,61.2,46.6,62.5,4.33
681,Hernandez High School,New York,Private,Elementary,22010.51,63.5,27.4,59.9,13.9,96.5,10.11
682,Watkins High School,New York,Public,High,23783.56,53.5,24.3,55.4,72.9,62.2,9.04
683,Hall High School,Texas,Public,High,17487.74,73.7,24.5,27.2,35.6,77.3,9.91
684,Nicholson Middle School,Texas,Public,Elementary,24864.7,62.4,14.4,67.9,65.7,56.5,2.69
685,Warren Middle School,Florida,Private,High,19064.09,78.3,11.6,61.9,11.0,82.4,7.31
686,Bauer High School,Ohio,Private,Elementary,17791.31,48.2,21.8,89.2,9.7,54.0,9.06
687,Campbell Elementary School,Ohio,Private,High,14008.17,49.3,12.2,50.5,90.7,87.2,8.62
688,Johnson High School,California,Public,High,22924.8,82.2,12.8,64.7,75.3,83.9,10.52
689,Armstrong Elementary School,Ohio,Private,Elementary,6975.95,69.8,25.7,43.6,27.7,54.5,10.5
690,Schultz High School,North Carolina,Charter,Middle,6516.58,42.2,22.6,32.4,60.0,79.6,9.52
691,Ingram Elementary School,Illinois,Private,Middle,5526.79,72.2,15.3,69.9,36.9,67.1,11.95
692,Allen High School,New York,Private,Middle,24335.22,82.8,18.7,52.5,58.5,89.8,1.23
693,Mayer High School,Illinois,Private,High,20829.1,46.9,16.8,88.4,61.8,66.4,9.51
694,Lopez Elementary School,Texas,Charter,High,9036.67,89.9,13.3,79.3,56.9,85.5,12.35
695,Smith Middle School,New York,Charter,High,15462.82,85.2,22.3,71.9,31.4,96.0,6.73
696,King Middle School,Ohio,Private,Middle,6934.54,89.6,10.7,53.5,57.7,54.2,2.12
697,Miller Elementary School,California,Charter,Elementary,18039.27,99.6,19.3,15.8,81.5,62.4,1.49
698,Marshall Middle School,Pennsylvania,Charter,High,9611.13,78.1,27.3,15.7,35.8,73.2,0.62
699,Adkins Elementary School,California,Private,Elementary,20925.91,89.1,13.5,87.2,54.9,69.3,3.83
700,Roberts Elementary School,Georgia,Private,Elementary,7741.87,79.2,12.0,13.2,29.6,56.7,12.03
701,Dickerson Middle School,Michigan,Public,High,5073.28,79.1,19.8,52.9,56.3,95.4,3.22
702,Marsh High School,Ohio,Private,High,17092.9,82.2,14.3,29.5,5.1,80.9,8.27
703,Davis Middle School,Texas,Charter,Middle,6879.91,61.7,19.3,85.1,13.1,95.4,14.18
704,White Elementary School,Ohio,Public,High,22187.46,69.4,23.9,51.5,43.9,98.4,7.23
705,Johnson High School,Illinois,Public,Elementary,5813.21,71.4,26.7,10.3,33.7,87.3,8.0
706,Short High School,California,Public,Middle,23861.46,85.4,10.4,70.3,53.3,85.6,9.99
707,Martinez Elementary School,California,Private,Elementary,12807.55,74.6,13.7,10.3,62.0,76.9,11.07
708,Jordan Elementary School,California,Private,Elementary,13691.27,66.0,25.1,51.0,37.8,88.6,11.47
709,Nichols High School,Florida,Private,Middle,12467.68,69.7,12.3,15.9,8.5,80.1,5.11
710,Johnson Elementary School,Pennsylvania,Private,Elementary,20814.24,48.0,11.8,72.7,93.0,63.9,1.81
711,Castro Middle School,Georgia,Public,High,10819.98,80.1,29.3,90.4,26.9,71.9,1.11
712,Schmidt High School,New York,Private,Middle,18101.72,71.8,26.9,57.2,43.4,69.0,5.94
713,Parks Middle School,Georgia,Private,Middle,14851.28,72.6,12.1,30.6,30.2,52.5,3.65
714,Moody Middle School,Texas,Private,Middle,10618.98,92.0,10.0,61.4,15.6,61.5,3.1
715,Munoz Elementary School,Pennsylvania,Public,Elementary,9059.75,84.3,10.8,49.9,23.8,52.2,3.06
716,Horton Elementary School,Michigan,Charter,Elementary,15696.28,49.7,21.6,60.8,59.8,87.4,3.71
717,Cain Elementary School,Ohio,Charter,Elementary,21572.96,52.0,25.7,38.8,47.0,73.7,3.66
718,Johnson Elementary School,California,Charter,Middle,7316.46,91.7,27.9,19.5,20.9,77.0,2.91
719,Anderson High School,Georgia,Charter,High,13078.91,64.9,27.4,39.3,48.2,95.7,5.57
720,Mays Elementary School,North Carolina,Private,Middle,18735.52,80.8,15.9,83.1,36.0,67.1,7.7
721,Johnson High School,Illinois,Charter,High,8084.24,59.9,25.8,34.8,19.0,96.5,8.32
722,Cooper High School,California,Charter,High,18473.01,92.3,25.2,14.2,35.9,67.6,5.23
723,Chan Middle School,Texas,Private,Elementary,18311.57,46.2,19.9,78.2,40.6,81.0,13.76
724,Cunningham Middle School,Pennsylvania,Charter,Elementary,10297.04,51.4,21.4,17.5,51.4,52.9,7.67
725,Moreno Elementary School,California,Charter,Middle,16083.28,59.4,25.7,45.1,59.9,81.1,9.84
726,Wallace High School,Illinois,Private,Elementary,20166.99,80.3,27.0,52.8,27.9,70.8,10.79
727,Mendoza High School,Illinois,Public,High,21077.05,81.4,27.3,72.7,77.7,70.0,11.72
728,Roth Middle School,Ohio,Private,High,12536.09,61.4,12.4,91.1,40.3,64.1,1.51
729,Herrera High School,Florida,Public,Elementary,9510.39,81.9,29.3,59.6,74.9,97.1,7.31
730,Reyes High School,New York,Charter,Elementary,24922.85,58.4,29.1,45.3,24.2,100.0,14.51
731,Wall Middle School,Georgia,Private,Middle,7800.82,40.5,22.3,62.9,17.9,64.9,3.78
732,Smith Middle School,North Carolina,Charter,Elementary,20107.43,80.2,10.4,42.9,29.3,65.5,3.77
733,Griffin Elementary School,New York,Public,Middle,9401.94,86.2,20.5,51.5,33.6,56.0,3.3
734,Walsh Elementary School,Ohio,Charter,Elementary,20483.36,40.4,20.0,73.5,46.2,64.5,11.5
735,Hanson Middle School,Pennsylvania,Charter,Elementary,20276.76,51.3,28.9,36.4,21.2,60.5,11.89
736,Dodson Middle School,Georgia,Private,Elementary,7874.76,75.8,13.4,17.1,31.8,80.4,9.44
737,Moore Middle School,Florida,Charter,Elementary,22776.05,41.5,17.8,77.6,64.3,79.4,4.56
738,Coleman Elementary School,Ohio,Charter,High,5426.77,89.8,21.7,75.0,20.8,76.5,13.35
739,Cox Middle School,Georgia,Private,Middle,13169.93,44.2,17.4,80.9,50.0,76.6,9.27
740,Rhodes High School,Illinois,Public,Middle,5349.32,61.6,25.9,28.7,37.2,53.7,4.55
741,Mack Elementary School,Michigan,Private,Middle,10012.77,41.3,26.0,33.4,47.6,91.4,14.94
742,Warren High School,Ohio,Public,High,21720.19,93.5,15.2,37.8,88.8,87.4,13.19
743,Davis Elementary School,Illinois,Charter,High,16668.52,62.9,21.4,74.3,58.2,87.5,13.83
744,Terry Middle School,Pennsylvania,Charter,Elementary,9093.76,61.6,12.8,54.4,48.4,78.3,7.88
745,Best Elementary School,Florida,Private,Elementary,23796.79,64.1,17.4,68.1,26.5,72.4,5.46
746,Adkins Elementary School,Ohio,Charter,High,12796.86,43.3,10.4,93.0,47.7,52.9,1.82
747,Maynard Middle School,Texas,Charter,High,21695.65,71.9,21.0,25.2,73.2,74.7,3.94
748,Coleman Middle School,North Carolina,Charter,High,23980.01,47.8,20.2,67.6,75.2,61.9,1.43
749,Crawford Elementary School,Georgia,Charter,Elementary,18328.9,55.2,15.1,87.6,50.9,89.2,1.89
750,Dean Elementary School,Florida,Private,Middle,19137.66,53.8,10.7,94.1,81.6,93.4,13.48
751,Morton Middle School,Ohio,Charter,Middle,6434.33,93.8,26.8,72.9,45.3,79.0,1.19
752,Hernandez Elementary School,North Carolina,Private,High,6293.02,43.7,29.2,53.7,23.1,95.1,3.26
753,Williams Elementary School,North Carolina,Private,High,16756.21,98.5,26.2,47.4,70.6,80.6,6.16
754,Pineda Elementary School,Ohio,Charter,Elementary,12068.6,88.6,16.6,46.6,41.9,99.9,14.72
755,Ramirez Elementary School,Florida,Private,Elementary,11967.01,87.1,26.7,84.8,13.0,89.6,3.82
756,Rodriguez Middle School,Texas,Charter,High,20136.95,64.9,17.5,25.9,68.1,92.4,11.28
757,Rodriguez Elementary School,Florida,Public,High,16615.54,43.2,24.7,59.1,84.3,68.1,4.68
758,Bates High School,Michigan,Private,Elementary,7551.26,47.9,12.4,73.1,16.1,59.0,10.38
759,Barnes Middle School,Texas,Public,High,5012.97,48.5,12.2,70.1,19.5,77.0,2.72
760,Hawkins Middle School,Texas,Public,Elementary,5992.29,78.2,23.8,44.8,38.7,66.7,10.17
761,Mitchell Middle School,Pennsylvania,Charter,High,21954.31,92.9,16.4,10.2,46.0,69.5,8.81
762,Williams Middle School,Texas,Public,Elementary,10604.13,84.3,29.9,11.1,35.1,66.8,7.4
763,Daniel High School,Michigan,Private,Elementary,10374.24,46.2,12.3,68.6,38.0,99.9,5.36
764,Barker Middle School,Texas,Private,Elementary,20259.76,92.9,13.1,75.3,89.9,63.8,7.55
765,Taylor Middle School,Ohio,Charter,Middle,21980.48,44.2,12.5,70.8,6.8,91.2,7.59
766,King High School,New York,Public,Middle,15695.71,56.9,17.2,49.4,83.3,98.1,4.39
767,Vaughn High School,North Carolina,Public,Elementary,15299.65,58.7,10.9,72.7,11.2,66.1,10.59
768,Campbell Elementary School,North Carolina,Public,Elementary,12561.65,82.2,28.8,25.9,62.4,67.0,11.0
769,Smith High School,Texas,Public,Elementary,19044.08,48.0,12.4,88.0,16.3,61.4,7.34
770,Bartlett Elementary School,Florida,Public,High,9315.84,85.5,19.8,22.7,52.2,52.6,6.27
771,Fields High School,Michigan,Charter,High,5284.34,85.3,14.3,93.3,76.9,83.9,10.89
772,Salinas Elementary School,Florida,Charter,Middle,11150.33,62.2,23.3,21.4,65.6,75.3,5.95
773,Barrett Middle School,Ohio,Public,Elementary,20194.4,67.6,17.0,54.4,59.2,68.7,3.58
774,Martin Elementary School,Georgia,Public,Middle,24698.58,91.0,29.4,32.8,18.0,59.8,8.17
775,Coleman Elementary School,Texas,Charter,Middle,18756.66,46.3,18.3,77.2,8.2,73.3,10.54
776,Frazier Middle School,Florida,Private,Middle,18537.68,59.3,10.6,67.6,89.8,91.8,3.52
777,Pope Middle School,Texas,Charter,High,18634.95,76.5,11.4,49.0,75.9,92.8,1.48
778,Price High School,Georgia,Charter,Elementary,13650.99,51.7,16.6,36.6,40.5,75.8,12.28
779,Soto Elementary School,Texas,Public,High,14749.42,79.0,16.1,57.5,20.6,73.9,0.74
780,Carpenter Elementary School,Texas,Private,Middle,15301.67,74.2,14.3,24.2,45.5,63.5,1.22
781,Smith Elementary School,Georgia,Charter,Elementary,14688.29,70.5,11.5,87.7,13.5,97.1,4.87
782,Bennett Elementary School,Florida,Private,High,20599.08,84.8,27.1,59.6,28.3,82.3,4.66
783,Ward Elementary School,Illinois,Private,Middle,21072.23,95.7,16.3,52.9,88.5,76.0,8.53
784,Scott High School,Illinois,Public,Middle,14402.65,96.6,14.8,27.1,13.2,70.5,12.19
785,Lopez High School,Texas,Private,Elementary,6490.93,48.0,14.0,81.8,51.5,84.5,14.78
786,Adams Elementary School,Georgia,Public,Elementary,17372.59,45.0,25.4,66.8,41.6,71.8,1.74
787,Sherman Elementary School,Michigan,Public,High,14834.83,57.5,12.4,62.3,90.5,67.5,2.96
788,Nguyen Elementary School,Illinois,Private,High,11838.63,60.6,24.8,87.9,92.9,92.3,14.71
789,Francis Elementary School,Georgia,Charter,Elementary,5292.17,65.4,21.1,71.4,16.2,68.6,11.15
790,Johnson Middle School,Michigan,Private,Elementary,13184.84,78.1,14.6,49.7,60.0,73.5,5.94
791,Davis High School,Pennsylvania,Charter,High,24807.06,44.4,17.6,25.4,56.7,59.4,14.65
792,Garcia Middle School,Pennsylvania,Charter,Middle,18513.04,42.7,24.2,19.4,64.2,54.2,7.68
793,Mcbride Middle School,Ohio,Public,High,10827.48,54.7,10.9,50.1,70.8,73.5,8.61
794,Peterson Middle School,North Carolina,Public,Elementary,10617.23,42.0,19.6,62.3,93.4,97.5,7.51
795,Walker Elementary School,Georgia,Public,Elementary,14245.78,62.1,21.6,78.9,27.5,68.7,4.15
796,Robles Middle School,Georgia,Public,Elementary,22130.92,70.5,25.6,32.1,13.9,50.7,3.27
797,Kelly Middle School,California,Public,Middle,10080.15,57.4,16.8,60.6,40.2,95.4,1.21
798,Jones High School,Pennsylvania,Public,High,12233.55,66.7,22.2,91.2,39.4,56.6,1.04
799,Reeves High School,California,Charter,Elementary,9228.96,82.4,13.2,32.4,33.5,91.0,4.86
800,Wilson Middle School,Illinois,Private,Middle,6616.41,84.5,20.3,60.9,77.1,78.7,13.7
801,Coleman Elementary School,California,Charter,Elementary,8097.28,98.3,24.3,73.5,39.1,65.9,5.01
802,Donaldson Elementary School,Michigan,Charter,High,17521.06,40.8,20.6,66.7,8.4,60.3,10.88
803,Patton High School,Florida,Public,Elementary,21347.79,47.8,14.6,33.3,71.4,78.1,10.77
804,Cross Middle School,North Carolina,Private,High,12504.64,42.5,29.1,55.6,18.0,94.3,12.98
805,Oliver Elementary School,Texas,Charter,High,8727.32,61.6,13.7,75.8,18.3,68.7,7.8
806,Wilkinson Elementary School,Pennsylvania,Charter,High,5028.53,75.3,26.1,11.9,63.4,64.2,13.34
807,Reynolds High School,New York,Private,Middle,20641.87,99.5,14.0,51.6,88.2,86.2,14.24
808,Bonilla High School,California,Private,Middle,7479.13,74.7,13.0,70.2,30.8,89.6,13.99
809,Guzman Middle School,North Carolina,Private,Elementary,24000.94,93.1,24.6,54.9,41.5,82.5,1.02
810,Davis High School,Michigan,Charter,Middle,20185.79,98.0,13.6,57.6,68.6,65.0,12.3
811,Stephens High School,Georgia,Public,Middle,15817.99,56.9,13.6,28.8,91.1,75.2,11.74
812,Jones Elementary School,Michigan,Public,Middle,7174.01,80.2,22.9,63.1,46.2,98.5,5.8
813,Foster High School,Michigan,Private,Middle,23419.35,52.3,19.0,37.0,11.2,56.6,2.69
814,Johnson Middle School,Illinois,Private,High,12704.62,42.7,21.0,63.7,32.6,53.2,9.62
815,English Middle School,Illinois,Private,High,8405.16,50.9,22.6,88.7,94.9,91.6,5.58
816,Hansen High School,Michigan,Private,Elementary,16344.78,41.5,14.0,87.3,74.8,57.4,8.4
817,Williams High School,Georgia,Public,Middle,18579.7,49.8,25.4,69.7,83.4,82.4,6.63
